City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Tomatlan,MX,19.9333,-105.25,86.11,59,9,1.9,clear sky
80,Hermanus,ZA,-34.4187,19.2345,66.9,83,96,9.24,overcast clouds
81,Georgetown,MY,5.4112,100.3354,80.55,87,20,0.0,few clouds
82,Mandalgovi,MN,45.7625,106.2708,31.51,57,4,8.55,clear sky
83,Aklavik,CA,68.2191,-135.0107,30.92,93,40,3.44,scattered clouds
84,Luderitz,NA,-26.6481,15.1594,63.01,76,41,9.73,scattered clouds
85,Ribeira Grande,PT,38.5167,-28.7,68.4,94,75,5.75,broken clouds
86,Puerto Ayora,EC,-0.7393,-90.3518,73.36,79,84,10.11,broken clouds
87,Novobirilyussy,RU,56.9514,90.6661,32.79,98,100,8.84,light snow
88,Deputatskiy,RU,69.3,139.9,-11.45,86,48,2.98,scattered clouds
89,Qaanaaq,GL,77.484,-69.3632,9.97,64,99,10.25,overcast clouds
90,Chifeng,CN,42.2683,118.9636,38.46,70,79,2.71,broken clouds
91,Lazaro Cardenas,MX,17.9583,-102.2,83.73,70,81,1.14,broken clouds
92,College,US,64.8569,-147.8028,46.06,45,75,12.66,broken clouds
93,Aksha,RU,50.2814,113.2867,27.36,73,16,2.42,few clouds
94,Bethel,US,41.3712,-73.414,64.85,73,75,4.0,broken clouds
95,Kapaa,US,22.0752,-159.319,69.78,88,1,8.05,clear sky
96,Bluff,NZ,-46.6,168.3333,48.09,75,85,19.57,overcast clouds
97,Victoria,HK,22.2855,114.1577,77.32,82,89,1.99,light rain
98,Yuksekova,TR,37.5736,44.2872,41.63,100,75,0.0,mist
99,Pevek,RU,69.7008,170.3133,-0.4,97,100,4.03,overcast clouds
100,Tuatapere,NZ,-46.1333,167.6833,39.72,85,49,5.5,scattered clouds
101,Lowestoft,GB,52.4752,1.7516,55.92,81,60,23.06,broken clouds
102,Port Blair,IN,11.6667,92.75,81.16,79,97,2.95,overcast clouds
103,Henties Bay,NA,-22.116,14.2845,65.86,81,1,9.73,clear sky
104,Severo-Kurilsk,RU,50.6789,156.125,35.53,68,99,25.05,light rain
105,Cape Town,ZA,-33.9258,18.4232,69.1,59,0,4.0,clear sky
106,Safranbolu,TR,41.2508,32.6942,57.04,61,97,0.72,overcast clouds
107,Yangshan,CN,28.7615,115.0287,59.2,64,71,2.8,light rain
108,Flin Flon,CA,54.7682,-101.865,31.84,93,90,8.05,overcast clouds
109,Klaksvik,FO,62.2266,-6.589,38.32,68,100,5.77,overcast clouds
110,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,94,75,12.66,mist
111,Kruisfontein,ZA,-34.0033,24.7314,66.42,77,95,7.36,overcast clouds
112,Narsaq,GL,60.9167,-46.05,30.42,68,50,4.27,scattered clouds
113,Bengkulu,ID,-3.8004,102.2655,76.82,90,100,3.62,moderate rain
114,Neiafu,TO,-18.65,-173.9833,75.88,94,40,0.0,light rain
115,Lata,PT,40.1629,-8.3327,67.93,98,100,7.47,overcast clouds
116,Kologriv,RU,58.8275,44.3178,42.04,93,49,7.45,scattered clouds
117,Mar Del Plata,AR,-38.0023,-57.5575,61.09,79,90,1.99,light rain
118,Tiksi,RU,71.6872,128.8694,14.68,83,100,12.35,overcast clouds
119,Kaitangata,NZ,-46.2817,169.8464,45.16,72,69,9.42,broken clouds
120,Mahebourg,MU,-20.4081,57.7,74.25,83,40,3.44,scattered clouds
121,Upernavik,GL,72.7868,-56.1549,33.17,98,100,18.41,light snow
122,Chokurdakh,RU,70.6333,147.9167,-11.72,100,100,5.82,overcast clouds
123,Komsomolskiy,UZ,40.4272,71.7189,50.72,57,98,6.91,haze
124,Beringovskiy,RU,63.05,179.3167,6.21,94,99,14.29,light snow
125,Hilo,US,19.7297,-155.09,81.28,72,40,8.05,scattered clouds
126,San Patricio,US,28.017,-97.5169,84.29,38,0,11.21,clear sky
127,Bull Savanna,JM,17.8868,-77.5902,82.54,70,27,9.75,scattered clouds
128,Touros,BR,-5.1989,-35.4608,86.9,62,48,15.52,scattered clouds
129,Vestmannaeyjar,IS,63.4427,-20.2734,40.19,70,0,26.46,clear sky
130,Nanortalik,GL,60.1432,-45.2371,34.47,74,49,14.52,scattered clouds
131,Sergeyevka,KZ,53.88,67.4158,32.95,84,99,7.76,overcast clouds
132,Hithadhoo,MV,-0.6,73.0833,82.17,77,100,17.49,overcast clouds
